Month,Day,Hour,Temperature,Rel. Hum.,Wind speed,Global Irr.,Diffuse Irr.,Tilted Irr.,Elevation,Azimuth
01,01,00,11.0,88,0.5,0,0,0,0,178
01,01,01,10.5,91,0.0,0,0,0,0,163
01,01,02,9.0,91,0.5,0,0,0,0,149
01,01,03,9.0,91,1.0,0,0,0,0,136
01,01,04,8.6,92,0.5,0,0,0,0,125
01,01,05,11.0,94,1.0,78,24,23,6,115
01,01,06,15.0,87,1.5,203,84,160,17,106
01,01,07,16.8,78,2.5,317,127,293,28,98
01,01,08,19.0,65,1.5,533,138,525,39,88
01,01,09,21.0,63,3.0,558,411,539,50,77
01,01,10,21.1,53,2.5,661,505,638,61,61
01,01,11,22.0,44,4.1,780,353,778,69,35
01,01,12,23.0,44,4.1,842,281,841,72,353
01,01,13,21.1,35,3.0,656,504,625,67,316
01,01,14,22.0,39,3.0,483,401,454,58,294
01,01,15,22.0,42,3.6,636,522,589,47,280
01,01,16,21.3,47,2.0,350,176,294,35,269
01,01,17,20.0,48,2.0,381,50,208,24,260
01,01,18,18.0,65,2.5,86,84,79,13,251
01,01,19,16.3,67,3.0,17,16,15,3,242
01,01,20,15.0,72,2.0,0,0,0,0,232
01,01,21,15.0,76,3.0,0,0,0,0,220
01,01,22,15.1,78,1.5,0,0,0,0,207
01,01,23,15.0,86,1.0,0,0,0,0,193
01,02,00,15.0,86,1.0,0,0,0,0,178
01,02,01,14.4,87,2.0,0,0,0,0,163
01,02,02,15.0,76,0.5,0,0,0,0,149
01,02,03,15.0,80,0.5,0,0,0,0,136
01,02,04,16.2,69,3.0,0,0,0,0,125
01,02,05,18.0,74,5.1,17,17,16,6,116
01,02,06,19.0,68,5.1,72,72,68,16,106
01,02,07,20.5,64,7.7,139,133,130,27,98
01,02,08,19.0,77,2.0,142,142,133,39,88
01,02,09,21.0,81,5.6,278,278,261,50,77
01,02,10,21.7,76,10.3,425,384,404,61,61
01,02,11,22.0,78,12.8,461,461,433,69,35
01,02,12,23.0,69,9.2,489,489,460,72,354
01,02,13,21.2,68,9.2,442,386,419,67,316
01,02,14,22.0,62,9.7,444,444,417,58,294
01,02,15,22.0,61,7.7,314,314,295,47,280
01,02,16,21.4,59,8.7,622,73,475,35,269
01,02,17,20.0,61,9.2,414,99,248,24,260
01,02,18,19.0,61,8.2,214,46,44,13,251
01,02,19,17.5,55,7.7,44,24,23,3,242
01,02,20,17.0,51,7.2,0,0,0,0,232
01,02,21,16.0,47,7.2,0,0,0,0,220
01,02,22,16.5,43,7.2,0,0,0,0,207
01,02,23,15.0,50,5.6,0,0,0,0,193
01,03,00,16.0,45,3.0,0,0,0,0,178
01,03,01,15.8,46,3.0,0,0,0,0,163
01,03,02,15.0,50,1.5,0,0,0,0,149
01,03,03,15.0,52,2.0,0,0,0,0,136
01,03,04,15.6,50,11.3,0,0,0,0,125
01,03,05,16.0,48,12.8,19,19,18,6,116
01,03,06,15.0,55,12.3,67,67,63,16,106
01,03,07,16.0,51,11.8,128,128,120,27,97
01,03,08,17.0,49,10.3,228,219,215,39,88
01,03,09,20.0,45,10.3,778,116,797,50,77
01,03,10,20.4,42,13.9,972,66,1015,60,61
01,03,11,20.0,43,14.9,1008,87,1048,69,35
01,03,12,21.0,40,14.4,1018,177,1033,72,354
01,03,13,20.3,46,10.8,922,192,911,67,317
01,03,14,20.0,43,12.3,581,372,549,58,294
01,03,15,19.0,45,5.6,289,258,270,47,280
01,03,16,18.4,52,7.7,89,89,84,36,269
01,03,17,18.0,60,5.6,47,47,44,24,260
01,03,18,17.0,62,3.6,25,25,23,13,251
01,03,19,16.3,57,8.7,6,6,6,3,242
01,03,20,15.0,73,7.2,0,0,0,0,232
01,03,21,16.0,72,8.2,0,0,0,0,221
01,03,22,16.0,82,8.2,0,0,0,0,208
01,03,23,16.0,86,6.6,0,0,0,0,193
01,04,00,17.0,83,9.7,0,0,0,0,178
01,04,01,16.1,86,5.1,0,0,0,0,163
01,04,02,16.0,88,6.1,0,0,0,0,149
01,04,03,14.0,89,5.1,0,0,0,0,136
01,04,04,14.0,88,4.6,0,0,0,0,125
01,04,05,14.0,83,5.6,22,21,20,6,116
01,04,06,16.0,76,6.6,198,59,150,16,106
01,04,07,15.4,83,6.1,369,150,341,27,97
01,04,08,18.0,60,12.3,586,114,581,38,88
01,04,09,19.0,51,13.9,786,78,811,50,77
01,04,10,19.3,48,13.9,917,102,954,60,61
01,04,11,19.0,49,13.9,950,198,975,69,35
01,04,12,18.0,59,8.7,536,424,514,72,354
01,04,13,19.1,50,8.2,1058,77,1055,67,317
01,04,14,19.0,49,10.8,819,243,776,58,294
01,04,15,19.0,49,11.8,778,52,684,47,280
01,04,16,18.7,48,11.3,614,62,470,36,270
01,04,17,18.0,51,7.7,375,121,240,24,260
01,04,18,17.0,51,5.6,247,82,78,13,251
01,04,19,13.1,69,3.6,33,19,18,3,242
01,04,20,12.0,78,2.5,0,0,0,0,232
01,04,21,10.0,88,1.0,0,0,0,0,221
01,04,22,9.4,93,0.5,0,0,0,0,208
01,04,23,14.0,51,9.7,0,0,0,0,193
01,05,00,15.0,51,11.3,0,0,0,0,178
01,05,01,14.3,50,13.3,0,0,0,0,163
01,05,02,13.0,53,7.2,0,0,0,0,149
01,05,03,12.0,62,4.6,0,0,0,0,136
01,05,04,12.5,64,6.6,0,0,0,0,125
01,05,05,13.0,63,6.6,39,39,37,5,116
01,05,06,16.0,49,11.3,216,47,159,16,106
01,05,07,16.5,47,12.8,439,80,404,27,97
01,05,08,17.0,46,8.7,625,93,622,38,88
01,05,09,18.0,40,8.7,798,101,821,50,77
01,05,10,19.2,40,7.7,958,56,1004,60,61
01,05,11,19.0,43,5.6,994,158,1027,69,35
01,05,12,17.0,41,4.6,514,449,489,72,355
01,05,13,17.1,44,6.1,239,239,225,67,317
01,05,14,18.0,45,6.1,367,295,346,58,295
01,05,15,19.0,44,5.6,369,359,346,47,280
01,05,16,14.2,57,7.7,258,256,242,36,270
